author,description,pubdate,sentiment
@SahabatCallox,bang bagaimana pesan,5/29/2024 1:46,neutral
@rizalnugraha86,dalam papua bayangin barang seperti ginian yang simpel tapi efek luas alhamdulillah teknologi maju mudah satu tugas tni yang pelosok yang minim sinyal bantu maju,5/29/2024 1:44,positive
@indogedegemilang5741,review ubique dari product dalam negeri,5/29/2024 1:13,neutral
@duvalonepiece9496,periksa khodam isi kosong,5/29/2024 1:05,neutral
@aris_0624,seperti jika hujan mendung agal ganggu,5/29/2024 1:00,negative
@duvalonepiece9496,internet cepat,5/29/2024 1:00,negative
@aris_0624,seperti pakde elon,5/29/2024 0:59,positive
@alhakimanugrah1586,bang bantu mesan  tidak bang,5/29/2024 0:44,neutral
@duvalonepiece9496,yang ketar tir ,5/29/2024 0:43,negative
@Soni_Laoly,antena diletakin atap trange touter wifi non kabel tuh rumah tingkat,5/29/2024 0:20,neutral
@mulkieachmad9565,tekhnologi sudah indonesia oraribahkan karya infonesia,5/29/2024 0:14,neutral
@ArinBuleq,harga 78 juta biaya layan 750rbu pakai 10 userperangkat mohon info,5/28/2024 23:59,neutral
@Sang_pemantau,desa sudah bubar make telkomsel bagus xl jadi pilpres telusur tsel iming imingi 01 lucu  kait tsb tingkat sinyal yang hilang sinyal 23 batang,5/28/2024 23:38,negative
@ozy_rama,1942 refleks langsung mencet layar ngilangin interface youtube yang record screennya om david,5/28/2024 23:38,neutral
@ryanbaskara9560, kirain starlink starbucks kelilink,5/28/2024 23:33,negative
@Poerto,indihome telkom,5/28/2024 23:23,neutral
@cikukcikukukchenel8887,unboxing mas hp opo a 60 tahan banting,5/28/2024 23:17,positive
@MP_Property,semoga indonesia biar bayar 100k spek,5/28/2024 23:07,neutral
@agungprastowo1708,gaada yang bahas powerbanknya kah,5/28/2024 22:41,negative
@SenoMizwar,starlink letak tanah anjirrr,5/28/2024 22:08,neutral
@rianjayaekasaputra,keinget sm boss darling101 trs tim fe yang coba riset teknologi trs tinggal tragis,5/28/2024 21:57,negative
@nyektijoe4590,diplosokatas gunungtengah hutandipadang gurun pasir pake joss,5/28/2024 21:50,positive
@ev_r13,indihome bangkrut liat,5/28/2024 21:41,negative
@mencarikeadilan8566,serba banting ya bang,5/28/2024 21:37,negative
@Blacklist78,otw transisi  hahahaha,5/28/2024 21:07,neutral
@alfaqih2182,provider kah up satelit,5/28/2024 20:17,neutral
@Frengkyy_,jangkau koneksi bang,5/28/2024 20:14,negative
@rudys138,saham saham internet provider hancur bur,5/28/2024 20:07,negative
@shadowkai1087,penasaran powerbanknya,5/28/2024 19:40,neutral
@veriveri5442,bang sudah blum ya toko yang jual starlink standar kit  coba beli website starlink susah bener karna pake kartu kredit,5/28/2024 19:12,neutral
@cloudgaming2680,ping 50 competitive fps game seperti susah,5/28/2024 19:05,negative
@arka672,persentase maling 100,5/28/2024 18:36,negative
@donnyl2756,bang bahas oppo reno 12,5/28/2024 18:29,neutral
@itikpler7398,aduh beli paket lagi mahal,5/28/2024 17:01,negative
@Engineer0123,coba pakai pas hujan deras bang,5/28/2024 16:56,neutral
@fundtrade,beli terus pake kapal libur pakai laut tidak bang paket beda,5/28/2024 16:01,neutral
@RitsUniverse,kena hujan panas lebih oke cover yaa,5/28/2024 15:49,neutral
@raharjowaluyo1242,maju tidak suka politik us jika iya suka pengaruh politik tapi suka teknologi amerika maju media sosial tidak jauh sono barat jga maka tidak jauh pakai youtube googlemap gps whatsapptellegram facebook chat massagerxtwitterigyahoogmailchromeplaystore browseropera apple ios androidai dllkable fiber optiksatelit komunikasi internet teknologi barat tidak suka politik suka teknologi yang pakai tidak ad speoniss terbukamau bilang ap biar starlink masuk kerja telkom baik konsumen pilih  bebas pandang produk amerika china pakai selagi manfaat ttap pakai salam cinta teknologi maju adap zaman,5/28/2024 15:34,positive
@j.free7351,bahaya petir tidak om,5/28/2024 15:29,negative
@cahayaseni917,kena air aman kah,5/28/2024 15:12,negative
@soemarnoremixs5978,free palestine,5/28/2024 15:09,neutral
@noblesseobelige9192,maksimal pake utk brp divice ya,5/28/2024 14:52,neutral
@banxbara1,insya besok mbok yem mesti beli,5/28/2024 14:07,negative
@yohimbe2673,tidak sesuai butuh,5/28/2024 13:58,negative
@sanali7340,pake brpa orang,5/28/2024 13:46,neutral
@dedeganda5858,nunggu bang ilon jual simcard langgung pakai hp dapet sinyal satelit,5/28/2024 13:31,neutral
@MunawirMuna-jx9jd,bang pakai hp,5/28/2024 13:28,neutral
@isman7821,bagus nihbisa bersih kabel2 provider wifi depan rumah nambah sudah seperti nyampah,5/28/2024 13:03,positive
@nevermind-mp5di,mantap,5/28/2024 13:00,positive
@PendiPW,bg wifi  perangkat bg,5/28/2024 12:49,neutral
@Asang999-km4jz,kartu byru thn 1997,5/28/2024 12:41,neutral
@ucupucup4445,kerja kapal bang laut isi muat minyak cpo hutan kapal jalan internet khusus diam saja starlink,5/28/2024 12:38,negative
@gameplay-id,riset nerbangin ribu satelit butuh dana harga obral tuju bisnis masuk pasar notabene negara masyarakat jalan gera boikot support israel niat investasi batal ujung numpang jual sistem satelit sifat kontrol pus banyak negara tindak satelit ambil rute area teritorial negara,5/28/2024 12:36,negative
@musliminmuhdir6879,anti petir,5/28/2024 12:23,positive
@DestraAmni,kreen,5/28/2024 12:16,positive
@BOGANCHANNEL,suara  ngeselin iklan suara bocah,5/28/2024 11:50,negative
@teguhprasetyo1980,andai yang 150 ribu bulan,5/28/2024 11:48,neutral
@avadakedavra4977,semoga tetangga beli amiiin,5/28/2024 11:33,positive
@Jawabarat77Variasi,bulan beli  paket ,5/28/2024 11:15,neutral
@KSEW20522,tmn ya jika jadi bisnis kampung tidak tmn yaa tmnmksh,5/28/2024 11:14,neutral
@yogineowrx,lokal bau ketar tir  sudah mahal biaya langgan plus jaring lot jadi musuh provider lokal wkwkwk,5/28/2024 11:01,negative
@jatur8944,teknologi white alice,5/28/2024 10:58,negative
@fauztralexzen9725,bilang gileee  cangggih saja semoga kebel amiiiiinnnn,5/28/2024 10:55,positive
@smpn1padalarang399,bang listrik coba jika listrik pake solar panel,5/28/2024 10:50,neutral
@Junickoas,saya beli rumah saya pencil semoga pas,5/28/2024 10:46,neutral
@fian_7907,telkom ketar tir kwkwkwkw,5/28/2024 10:36,negative
@Achdanfawazi,tampar keras telkomsel biar g leha leha,5/28/2024 10:30,negative
@fian_7907, saja saya trimah barang msuk kantor tempat kerja saya,5/28/2024 10:26,neutral
@bobyandrean9568,pt pelni pake inovasi biar jika d laut nonton gadgetln,5/28/2024 10:06,neutral
@mangroupofficial2902,mantappp,5/28/2024 10:06,positive
@Yandiimul_,inget bolt jika seperti gini tahan ya starlink,5/28/2024 10:03,neutral
@zailaniani3572,wagh mantap live mancing laut,5/28/2024 9:54,positive
@yusufmalikulm,kota cocok kabel fiber kenceng murah pencil cocok  kerja remote harga biaya starlink bayangin saja kerja pulau idam internet kenceng,5/28/2024 9:53,positive
@nyts9099,made in china tidak bang alat,5/28/2024 9:38,neutral
@budichahyono7371,manntap bang,5/28/2024 9:37,negative
@taufikekosusilo5105,goodbye indihouse rekan2nya,5/28/2024 9:32,positive
@Tiger_fighter86,muncul  starlink oknum bajak ilegal rw net,5/28/2024 9:14,negative
@Ar1ev,jika hujan petir gitu aman tidak yah,5/28/2024 8:55,positive
@nigedonk,taruh rumah ka,5/28/2024 8:45,neutral
@miftakhulhuda772,tau sawah sinyal kencang,5/28/2024 8:40,positive
@yosefd1308,hebat  starlink test awet alat lokasi listrik byarpet lokasi pencil listrik terkadang arus stabil mati hidupmati hidup rusak alat listrik durabilitas alat uji otherwise opsi starlink bagus banget daerah pencil susah akses internet mumpuni,5/28/2024 8:38,positive
@febriantopagiling6727,cocok  bang daerah dalam salam bang papua gunung tolikara,5/28/2024 8:36,positive
@Tater____,langsung viral tinggal tunggu harga elon musk,5/28/2024 8:34,neutral
@Dentaexe,kurang lumayan berat ya harga segitu up down  tidak 11 ping  49 wkwkwk jika hujan anginya kenceng jika kendala lokasi benerin wkwk,5/28/2024 8:26,positive
@lutfiarifin8545,telkomsel starlink,5/28/2024 8:08,neutral
@surinnakun,ken pasang gini takut angkut maling,5/28/2024 7:56,negative
@hasbikausar8366,yok mendikbud kudu kolaborasi jenjang didik pelosok negeri koneksi internet,5/28/2024 7:24,neutral
@sinyonakano4974,kira2 perbulanyan bayar yah,5/28/2024 7:13,neutral
@danielmuhammadmulia5548,harga  msh mahal beda dengan wifi,5/28/2024 7:10,negative
@hashimmus3117,maksimal connect device,5/28/2024 6:59,neutral
@user-ut5qn8hx7g,david tidak apresiasi internet kenceng anu internet kenceng,5/28/2024 6:55,negative
@averill_lowell,cobain hutan lancar banget listrik langit cerah paket kuota ,5/28/2024 6:49,positive
@RicoHexada,bang sudah coba pakai apartmen tidak ya pasang balcony gt,5/28/2024 6:45,neutral
@kocak93,beli bayar bulan ,5/28/2024 6:31,neutral
@restuilhamiafrieza8244,lemah  daerah  suka matlis,5/28/2024 6:27,negative
@ridlobaguslaksono1446,tidak bayar 750 ribu pakai kak,5/28/2024 6:17,neutral
@ridlobaguslaksono1446,kak beli paket 750 ribu juni juli tidak bayar starlinknya,5/28/2024 6:09,neutral
@boskerntv4308,orang wakatobi bang,5/28/2024 6:03,neutral
@evhan1000,info bayar langgan,5/28/2024 5:58,neutral
@user-tt5wy8kr5p,beli dmna bang,5/28/2024 5:52,neutral
@i4mchristi4n,jon pulau obi jaring starlink,5/28/2024 5:47,positive
@darusbintang9419,ohh tau isi tik tok  bang david seperti gituan,5/28/2024 5:38,negative
@Trdenew,keren bantu banget utk daerah pesisir hutan dalam,5/28/2024 5:20,positive
@4pk-csgo735,bisaa explore instagram  tidak yang joged2 seksiiii sihhhhhh,5/28/2024 5:18,negative
@ylaw2092,praktis  mah pingin kampung susah internet,5/28/2024 5:16,positive
@martindjong,telkomsat,5/28/2024 5:06,neutral
@m.tedysyahputra7404,internet cepat,5/28/2024 5:05,negative
@15idamkarima18,internet kencang,5/28/2024 4:59,negative
@nelsonguterres5010,kaka starlink mengunakan negara timorleste,5/28/2024 4:54,neutral
@tanimbartawa8687,750k unlimited ya kak,5/28/2024 4:47,neutral
@expertcraft3680,bang  jika starlinknya jakarta jawa nyambung tidak,5/28/2024 4:35,neutral
@rgreview922,bolo  otak orang pintar jenius buat alat yang guna hasil uang  serius sekolah,5/28/2024 4:27,positive
@itsmekalvin8753,starlink sampe tidak kopi bang,5/28/2024 4:26,negative
