author,description,pubdate,sentiment
@SahabatCallox,Bang gimna cara pesannya,5/29/2024 1:46,neutral
@rizalnugraha86,"dulu selama di pedalaman papua sering bayangin ada barang kaya ginian yg simpel tpi efeknya luas, alhamdulillah teknologi semakin maju bisa memudahkan bagi kami khususnya satuan tugas TNI yg berada di pelosok yg minim sinyal, sangat membantu untuk kemajuan bersamaðŸ‘",5/29/2024 1:44,positive
@indogedegemilang5741,"Review Ubique dong, dr product dlm negeri ..",5/29/2024 1:13,neutral
@duvalonepiece9496,cek khodam isi atau kosong,5/29/2024 1:05,neutral
@aris_0624,Kayanya klo ujan mendung agal terganggu,5/29/2024 1:00,negative
@duvalonepiece9496,memang internet cepat buat apa?,5/29/2024 1:00,negative
@aris_0624,Makin kaya pakde elon,5/29/2024 0:59,positive
@alhakimanugrah1586,Bang bisa di bantu pemesanan nya nggak bang?,5/29/2024 0:44,neutral
@duvalonepiece9496,ada yg ketar ketir nih,5/29/2024 0:43,negative
@Soni_Laoly,"Itu antena diletakin di atas atap kan, tRange touter wifi non kabelnya sejauh apa tuh kalau rumah kita tingkat ..,",5/29/2024 0:20,neutral
@mulkieachmad9565,sebenarnya tekhnologi ini udah lama ada di indonesia dan digunakan orari...bahkan karya infonesia,5/29/2024 0:14,neutral
@ArinBuleq,"Harganya 7,8 juta dan biaya layanan 750rbu apakah bisa di pakai 10 user/perangkat? mohon infonya",5/28/2024 23:59,neutral
@Sang_pemantau,"Didesa saya udah bubar make telkomsel lebih bagus xl soalnya, kejadian ini setelah pilpres. Setelah ditelusuri pihak tsel sudah di iming imingi 01 agak lucu ðŸ˜‚ sih berkaitan dengan hal tsb, untuk saat ini belum ada peningkatan dari sinyal yg sering hilang dan sinyalnya sering 2/3 batang.",5/28/2024 23:38,negative
@ozy_rama,19:42 refleks langsung mencet layar buat ngilangin interface YouTube yg padahal record screennya om david ðŸ˜‚,5/28/2024 23:38,neutral
