"id","author","description","guid","to","likecount","link","pubdate","replycount","title","authorChannelUrl"
"1","@SahabatCallox","Bang gimna cara pesannya","UgytxK0_Fcl6z4dw_PR4AaABAg","","0","https://www.youtube.com/watch?v=BHkTABfl9fc&lc=UgytxK0_Fcl6z4dw_PR4AaABAg","5/29/2024 1:46","0","Bang gimna cara pesannya","http://www.youtube.com/@SahabatCallox"
"2","@rizalnugraha86","dulu selama di pedalaman papua sering bayangin ada barang kaya ginian yg simpel tpi efeknya luas, alhamdulillah teknologi semakin maju bisa memudahkan bagi kami khususnya satuan tugas TNI yg berada di pelosok yg minim sinyal, sangat membantu untuk kemajuan bersamaðŸ‘","UgyboOu7osbG00b3XcN4AaABAg","","1","https://www.youtube.com/watch?v=BHkTABfl9fc&lc=UgyboOu7osbG00b3XcN4AaABAg","5/29/2024 1:44","0","dulu selama di pedalaman papua sering bayangin ada barang kaya ginian yg simpel tpi efeknya luas, alhamdulillah teknologi semakin maju bisa memudahkan bagi kami khususnya satuan tugas TNI yg berada di pelosok yg minim sinyal, sangat membantu untuk kemajuan bersamaðŸ‘","http://www.youtube.com/@rizalnugraha86"
"3","@indogedegemilang5741","Review Ubique dong, dr product dlm negeri ..","UgxI5bySXYln8VPRfHp4AaABAg","","0","https://www.youtube.com/watch?v=BHkTABfl9fc&lc=UgxI5bySXYln8VPRfHp4AaABAg","5/29/2024 1:13","0","Review Ubique dong, dr product dlm negeri ..","http://www.youtube.com/@indogedegemilang5741"
"4","@duvalonepiece9496","cek khodam isi atau kosong","Ugz8_RBuz-2HGu2P49x4AaABAg","","0","https://www.youtube.com/watch?v=BHkTABfl9fc&lc=Ugz8_RBuz-2HGu2P49x4AaABAg","5/29/2024 1:05","0","cek khodam isi atau kosong","http://www.youtube.com/@duvalonepiece9496"
"5","@aris_0624","Kayanya klo ujan mendung agal terganggu","UgyaWzw13i8OL1OcCn54AaABAg","","0","https://www.youtube.com/watch?v=BHkTABfl9fc&lc=UgyaWzw13i8OL1OcCn54AaABAg","5/29/2024 1:00","0","Kayanya klo ujan mendung agal terganggu","http://www.youtube.com/@aris_0624"
"6","@duvalonepiece9496","memang internet cepat buat apa?","Ugx3-d-A5oJ6nKaybAl4AaABAg","","0","https://www.youtube.com/watch?v=BHkTABfl9fc&lc=Ugx3-d-A5oJ6nKaybAl4AaABAg","5/29/2024 1:00","0","memang internet cepat buat apa?","http://www.youtube.com/@duvalonepiece9496"
"7","@aris_0624","Makin kaya pakde elon","UgwNKr_hNpMwry1S6Nh4AaABAg","","0","https://www.youtube.com/watch?v=BHkTABfl9fc&lc=UgwNKr_hNpMwry1S6Nh4AaABAg","5/29/2024 0:59","0","Makin kaya pakde elon","http://www.youtube.com/@aris_0624"
"8","@alhakimanugrah1586","Bang bisa di bantu pemesanan nya nggak bang?","UgwPeBN70GbINchWA1R4AaABAg","","0","https://www.youtube.com/watch?v=BHkTABfl9fc&lc=UgwPeBN70GbINchWA1R4AaABAg","5/29/2024 0:44","0","Bang bisa di bantu pemesanan nya nggak bang?","http://www.youtube.com/@alhakimanugrah1586"
"9","@duvalonepiece9496","ada yg ketar ketir nih","UgxgdvGXnvdMwfSQNOJ4AaABAg","","0","https://www.youtube.com/watch?v=BHkTABfl9fc&lc=UgxgdvGXnvdMwfSQNOJ4AaABAg","5/29/2024 0:43","0","ada yg ketar ketir nih","http://www.youtube.com/@duvalonepiece9496"
"10","@Soni_Laoly","Itu antena diletakin di atas atap kan, tRange touter wifi non kabelnya sejauh apa tuh kalau rumah kita tingkat ..,","UgwTIwJpB1qNgh_oV7V4AaABAg","","0","https://www.youtube.com/watch?v=BHkTABfl9fc&lc=UgwTIwJpB1qNgh_oV7V4AaABAg","5/29/2024 0:20","0","Itu antena diletakin di atas atap kan, tRange touter wifi non kabelnya sejauh apa tuh kalau rumah kita tingkat ..,","http://www.youtube.com/@Soni_Laoly"
